# Time is in days from January 1, 2009
# X and Y are in Finnish UTM km. 
"Time","X","Y","Z"
32.5,3578127.51,7108246.96,3578127.51+7108246.96i
32.6666666666667,3578017.45,7108141.47,3578017.45+7108141.47i
32.8333333333333,3578097.1,7108155.32,3578097.1+7108155.32i
33,3578235.93,7108073.34,3578235.93+7108073.34i
33.1666666666667,3578239.47,7108069.26,3578239.47+7108069.26i
33.3333333333333,3578384.26,7107922,3578384.26+7107922i
33.5,3578431.26,7107825.26,3578431.26+7107825.26i
33.6666666666667,3579194.25,7108906.09,3579194.25+7108906.09i
33.8333333333333,3579164.43,7108901.45,3579164.43+7108901.45i
34,3579191.18,7109103.2,3579191.18+7109103.2i
34.1666666666667,3579244.3,7109054.99,3579244.3+7109054.99i
34.3333333333333,3578923.98,7108439.54,3578923.98+7108439.54i
34.5,3578930.43,7108228.53,3578930.43+7108228.53i
34.6666666666667,3579537.47,7107987.35,3579537.47+7107987.35i
36,3579988.48,7107576.67,3579988.48+7107576.67i
36.1666666666667,3580111.64,7107543.23,3580111.64+7107543.23i
36.3333333333333,3579795.1,7107494.82,3579795.1+7107494.82i
36.5,3579812.57,7107789.21,3579812.57+7107789.21i
36.6666666666667,3579832.16,7107702.77,3579832.16+7107702.77i
36.8333333333333,3579515.48,7107751.82,3579515.48+7107751.82i
37,3579534.14,7107743.24,3579534.14+7107743.24i
37.1666666666667,3579516.43,7107742.68,3579516.43+7107742.68i
37.3333333333333,3579527.4,7107744.6,3579527.4+7107744.6i
37.5,3579300.9,7107709.75,3579300.9+7107709.75i
37.6666666666667,3580115.42,7107409.26,3580115.42+7107409.26i
37.8333333333333,3580103.86,7107389.73,3580103.86+7107389.73i
38,3580373.49,7107288.19,3580373.49+7107288.19i
38.1666666666667,3580389.34,7107292.73,3580389.34+7107292.73i
38.3333333333333,3580387.16,7107211.53,3580387.16+7107211.53i
38.5,3580363.23,7107194.76,3580363.23+7107194.76i
38.6666666666667,3580515.65,7107156.25,3580515.65+7107156.25i
38.8333333333333,3580540.41,7107187.97,3580540.41+7107187.97i
39,3580515.99,7107190.35,3580515.99+7107190.35i
39.1666666666667,3580496.68,7107215.42,3580496.68+7107215.42i
39.3333333333333,3580649.71,7107152.95,3580649.71+7107152.95i
39.5,3581074.43,7106373.74,3581074.43+7106373.74i
39.6666666666667,3580738.45,7106920.74,3580738.45+7106920.74i
39.8333333333333,3580729.43,7106873.75,3580729.43+7106873.75i
40,3580735.44,7106910.58,3580735.44+7106910.58i
40.1666666666667,3580714.63,7106880.97,3580714.63+7106880.97i
40.3333333333333,3580734.25,7106941.75,3580734.25+7106941.75i
40.5,3580732.09,7106957.77,3580732.09+7106957.77i
40.6666666666667,3580752.64,7106965.96,3580752.64+7106965.96i
40.8333333333333,3580801.88,7106972.96,3580801.88+7106972.96i
41,3580797.43,7106883.99,3580797.43+7106883.99i
41.1666666666667,3580792.53,7106941.55,3580792.53+7106941.55i
