"GPS_Main_ID","Collar_ID","Object_ID","PubName","Sex","GMT_date","LMT_date","Longitude","Latitude","Height","Locale_N","Locale_E","Locale_H","DOP","Nav","Sats_used","Validated","Main","Bkup","TEMP","SMS_date","Valid_pos","Db_ID","ID","SubPop","Z","Time"
959,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2009-02-03 12:00:50","3.2.2009 13:00:50",28.59,64.06,197.85,7108246.96,3578127.51,NA,2,"3D",NA,"Yes",3.2,3.44,0,"4.2.2009 14:04:28",2,21,"rt_fi_09_008","East",3578127.51+7108246.96i,"2009-02-03 12:00:50"
958,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2009-02-03 16:00:43","3.2.2009 17:00:43",28.59,64.06,182.18,7108141.47,3578017.45,NA,3.4,"3D",NA,"Yes",3.2,3.44,-2,"4.2.2009 14:04:28",2,21,"rt_fi_09_008","East",3578017.45+7108141.47i,"2009-02-03 16:00:43"
957,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2009-02-03 20:00:54","3.2.2009 21:00:54",28.59,64.06,186.43,7108155.32,3578097.1,NA,5.2,"3D",NA,"Yes",3.2,3.44,0,"4.2.2009 14:04:28",2,21,"rt_fi_09_008","East",3578097.1+7108155.32i,"2009-02-03 20:00:54"
956,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2009-02-04 00:00:43","4.2.2009 1:00:43",28.59,64.06,196.84,7108073.34,3578235.93,NA,3.6,"3D",NA,"Yes",3.2,3.44,0,"4.2.2009 14:04:28",2,21,"rt_fi_09_008","East",3578235.93+7108073.34i,"2009-02-04 00:00:43"
955,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2009-02-04 04:00:44","4.2.2009 5:00:44",28.59,64.06,197.75,7108069.26,3578239.47,NA,3.6,"3D",NA,"Yes",3.2,3.44,2,"4.2.2009 14:04:28",2,21,"rt_fi_09_008","East",3578239.47+7108069.26i,"2009-02-04 04:00:44"
954,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2009-02-04 08:00:43","4.2.2009 9:00:43",28.6,64.06,198.84,7107922,3578384.26,NA,2.2,"3D",NA,"Yes",3.2,3.44,1,"4.2.2009 14:04:28",2,21,"rt_fi_09_008","East",3578384.26+7107922i,"2009-02-04 08:00:43"
953,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2009-02-04 12:00:54","4.2.2009 13:00:54",28.6,64.06,211.98,7107825.26,3578431.26,NA,1.8,"3D",NA,"Yes",3.2,3.44,2,"4.2.2009 14:04:28",2,21,"rt_fi_09_008","East",3578431.26+7107825.26i,"2009-02-04 12:00:54"
1008,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2009-02-04 16:00:53","4.2.2009 17:00:53",28.61,64.07,233.02,7108906.09,3579194.25,NA,3.4,"3D",NA,"Yes",3.2,3.44,0,"5.2.2009 18:04:23",2,21,"rt_fi_09_008","East",3579194.25+7108906.09i,"2009-02-04 16:00:53"
1007,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2009-02-04 20:00:54","4.2.2009 21:00:54",28.61,64.07,221.57,7108901.45,3579164.43,NA,2,"3D",NA,"Yes",3.2,3.44,-1,"5.2.2009 18:04:23",2,21,"rt_fi_09_008","East",3579164.43+7108901.45i,"2009-02-04 20:00:54"
1006,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2009-02-05 00:00:43","5.2.2009 1:00:43",28.61,64.07,200.57,7109103.2,3579191.18,NA,2.6,"3D",NA,"Yes",3.2,3.44,-4,"5.2.2009 18:04:23",2,21,"rt_fi_09_008","East",3579191.18+7109103.2i,"2009-02-05 00:00:43"
1005,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2009-02-05 04:00:43","5.2.2009 5:00:43",28.62,64.07,186.85,7109054.99,3579244.3,NA,3.8,"3D",NA,"Yes",3.2,3.44,-7,"5.2.2009 18:04:23",2,21,"rt_fi_09_008","East",3579244.3+7109054.99i,"2009-02-05 04:00:43"
1004,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2009-02-05 08:00:44","5.2.2009 9:00:44",28.61,64.06,207.39,7108439.54,3578923.98,NA,2.2,"3D",NA,"Yes",3.2,3.36,-10,"5.2.2009 18:04:23",2,21,"rt_fi_09_008","East",3578923.98+7108439.54i,"2009-02-05 08:00:44"
1003,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2009-02-05 12:00:44","5.2.2009 13:00:44",28.61,64.06,188.84,7108228.53,3578930.43,NA,4.2,"3D",NA,"Yes",3.2,3.44,-9,"5.2.2009 18:04:23",2,21,"rt_fi_09_008","East",3578930.43+7108228.53i,"2009-02-05 12:00:44"
1002,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2009-02-05 16:00:44","5.2.2009 17:00:44",28.62,64.06,194.62,7107987.35,3579537.47,NA,4,"3D",NA,"Yes",3.2,3.36,-10,"5.2.2009 18:04:23",2,21,"rt_fi_09_008","East",3579537.47+7107987.35i,"2009-02-05 16:00:44"
1106,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2009-02-07 00:00:43","7.2.2009 1:00:43",28.63,64.05,178.62,7107576.67,3579988.48,NA,2.4,"3D",NA,"Yes",3.2,3.36,-8,"8.2.2009 2:04:20",2,21,"rt_fi_09_008","East",3579988.48+7107576.67i,"2009-02-07 00:00:43"
1105,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2009-02-07 04:00:44","7.2.2009 5:00:44",28.63,64.05,183.08,7107543.23,3580111.64,NA,2.6,"3D",NA,"Yes",3.2,3.36,-9,"8.2.2009 2:04:20",2,21,"rt_fi_09_008","East",3580111.64+7107543.23i,"2009-02-07 04:00:44"
1104,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2009-02-07 08:00:43","7.2.2009 9:00:43",28.63,64.05,180.43,7107494.82,3579795.1,NA,2.2,"3D",NA,"Yes",3.2,3.36,-8,"8.2.2009 2:04:20",2,21,"rt_fi_09_008","East",3579795.1+7107494.82i,"2009-02-07 08:00:43"
1103,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2009-02-07 12:00:48","7.2.2009 13:00:48",28.63,64.06,193.18,7107789.21,3579812.57,NA,5,"3D",NA,"Yes",3.2,3.36,-4,"8.2.2009 2:04:20",2,21,"rt_fi_09_008","East",3579812.57+7107789.21i,"2009-02-07 12:00:48"
1102,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2009-02-07 16:00:25","7.2.2009 17:00:25",28.63,64.06,189.86,7107702.77,3579832.16,NA,4.8,"3D",NA,"Yes",3.2,3.36,-7,"8.2.2009 2:04:20",2,21,"rt_fi_09_008","East",3579832.16+7107702.77i,"2009-02-07 16:00:25"
1101,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2009-02-07 20:00:25","7.2.2009 21:00:25",28.62,64.06,182.09,7107751.82,3579515.48,NA,1.8,"3D",NA,"Yes",3.2,3.44,-5,"8.2.2009 2:04:20",2,21,"rt_fi_09_008","East",3579515.48+7107751.82i,"2009-02-07 20:00:25"
1100,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2009-02-08 00:00:42","8.2.2009 1:00:42",28.62,64.06,186.49,7107743.24,3579534.14,NA,4.2,"3D",NA,"Yes",3.2,3.44,-4,"8.2.2009 2:04:20",2,21,"rt_fi_09_008","East",3579534.14+7107743.24i,"2009-02-08 00:00:42"
1155,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2009-02-08 04:00:26","8.2.2009 5:00:26",28.62,64.06,203.23,7107742.68,3579516.43,NA,3.8,"3D",NA,"Yes",3.2,3.44,-4,"9.2.2009 6:04:09",2,21,"rt_fi_09_008","East",3579516.43+7107742.68i,"2009-02-08 04:00:26"
1154,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2009-02-08 08:00:44","8.2.2009 9:00:44",28.62,64.06,189.09,7107744.6,3579527.4,NA,2,"3D",NA,"Yes",3.2,3.44,-4,"9.2.2009 6:04:09",2,21,"rt_fi_09_008","East",3579527.4+7107744.6i,"2009-02-08 08:00:44"
1153,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2009-02-08 12:00:44","8.2.2009 13:00:44",28.62,64.06,184.32,7107709.75,3579300.9,NA,3.8,"3D",NA,"Yes",3.2,3.44,-2,"9.2.2009 6:04:09",2,21,"rt_fi_09_008","East",3579300.9+7107709.75i,"2009-02-08 12:00:44"
1152,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2009-02-08 16:00:49","8.2.2009 17:00:49",28.63,64.05,197.12,7107409.26,3580115.42,NA,1.4,"3D",NA,"Yes",3.2,3.44,0,"9.2.2009 6:04:09",2,21,"rt_fi_09_008","East",3580115.42+7107409.26i,"2009-02-08 16:00:49"
1151,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2009-02-08 20:00:25","8.2.2009 21:00:25",28.63,64.05,184.23,7107389.73,3580103.86,NA,2.4,"3D",NA,"Yes",3.28,3.44,1,"9.2.2009 6:04:09",2,21,"rt_fi_09_008","East",3580103.86+7107389.73i,"2009-02-08 20:00:25"
1150,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2009-02-09 00:00:26","9.2.2009 1:00:26",28.64,64.05,174.71,7107288.19,3580373.49,NA,7.2,"3D",NA,"Yes",3.28,3.44,3,"9.2.2009 6:04:09",2,21,"rt_fi_09_008","East",3580373.49+7107288.19i,"2009-02-09 00:00:26"
1149,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2009-02-09 04:00:26","9.2.2009 5:00:26",28.64,64.05,192.72,7107292.73,3580389.34,NA,2.8,"3D",NA,"Yes",3.28,3.44,4,"9.2.2009 6:04:09",2,21,"rt_fi_09_008","East",3580389.34+7107292.73i,"2009-02-09 04:00:26"
1183,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2009-02-09 08:00:48","9.2.2009 9:00:48",28.64,64.05,182.14,7107211.53,3580387.16,NA,4.8,"3D",NA,"Yes",3.2,3.44,4,"10.2.2009 10:04:19",2,21,"rt_fi_09_008","East",3580387.16+7107211.53i,"2009-02-09 08:00:48"
1182,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2009-02-09 12:00:25","9.2.2009 13:00:25",28.64,64.05,188.88,7107194.76,3580363.23,NA,2.2,"3D",NA,"Yes",3.2,3.44,2,"10.2.2009 10:04:19",2,21,"rt_fi_09_008","East",3580363.23+7107194.76i,"2009-02-09 12:00:25"
