TAG,DATETIME,X,Y,D,LAT,LON,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX
T28, 2010-05-02 16:49:06, 4549.49, 5358.28,  1.978,   45.496525,  -84.079172,   2.7,        ,        ,  1.9780,        , R01 R03 R04 R05 R06 R07 R08 R09 R10 R11 R12 R13 R14 R15 R16 R17 R18 R19 R21 R22 R24 R25 R26 R27 R28 R29 R30 R31 R32 R33 R34 R38 R39
T28, 2010-05-02 16:49:29, 4548.67, 5333.45,  5.000,   45.496301,  -84.079182,   2.6,        ,        ,        ,        , R02 R04 R05 R06 R07 R08 R09 R10 R11 R12 R13 R14 R15 R16 R17 R18 R20 R22 R23 R25 R26 R27 R28 R29 R30 R31 R32 R35 R37 R38 R39
T28, 2010-05-02 16:49:56, 4554.13, 5316.77,  4.616,   45.496151,  -84.079112,   2.7,        ,        ,  4.6156,        , R03 R04 R06 R07 R09 R10 R11 R12 R13 R14 R16 R17 R18 R19 R20 R22 R25 R26 R28 R29 R30 R31 R32 R33 R35
T28, 2010-05-02 16:50:29, 4566.96, 5303.97,  5.000,   45.496036,  -84.078948,   2.9,        ,        ,        ,        , R01 R02 R04 R05 R08 R09 R10 R11 R12 R13 R14 R15 R17 R18 R19 R20 R21 R22 R23 R25 R29 R30 R32 R33
T28, 2010-05-02 16:51:18, 4581.95, 5289.35,  4.616,   45.495904,  -84.078756,   2.5,        ,        ,  4.6156,        , R11 R13 R14 R15 R16 R19 R22 R25 R28 R29 R30
T28, 2010-05-02 16:52:06, 4591.09, 5274.68,  5.000,   45.495772,  -84.078639,   2.5,        ,        ,        ,        , R05 R06 R09 R10 R13 R14 R15 R16 R22 R28 R29 R30 R31 R37
T28, 2010-05-02 16:52:53, 4597.60, 5259.28,  4.616,   45.495634,  -84.078556,   2.5,        ,        ,  4.6156,        , R09 R10 R12 R13 R14 R15 R16 R17 R28 R29 R30 R31 R32
T28, 2010-05-02 16:53:38, 4618.18, 5253.47,  5.000,   45.495581,  -84.078293,   2.5,        ,        ,        ,        , R09 R12 R13 R14 R15 R16 R17 R28 R29 R30 R31 R32 R33
T28, 2010-05-02 16:54:19, 4630.92, 5241.17,  4.396,   45.495471,  -84.078130,   2.5,        ,        ,  4.3958,        , R03 R04 R05 R06 R07 R08 R09 R10 R11 R12 R13 R14 R15 R16 R17 R18 R19 R20 R21 R24 R25 R26 R27 R28 R29 R30 R31 R32 R33 R34 R35 R38 R39
T28, 2010-05-02 16:54:52, 4646.00, 5230.71,  5.000,   45.495377,  -84.077937,   2.5,        ,        ,        ,        , R04 R05 R06 R07 R08 R09 R10 R12 R13 R14 R15 R16 R17 R18 R19 R25 R26 R27 R28 R29 R30 R32 R33 R38 R39
T28, 2010-05-02 16:55:40, 4665.06, 5236.17,  4.616,   45.495426,  -84.077693,   2.5,        ,        ,  4.6156,        , R01 R02 R03 R04 R05 R06 R07 R08 R09 R10 R12 R13 R14 R15 R16 R17 R18 R19 R20 R21 R22 R23 R25 R26 R27 R28 R29 R30 R32 R33 R34 R39
T28, 2010-05-02 16:56:26, 4680.76, 5229.73,  5.000,   45.495368,  -84.077492,   2.6,        ,        ,        ,        , R02 R04 R07 R08 R10 R12 R13 R14 R15 R16 R17 R18 R19 R21 R22 R25 R26 R27 R28 R29 R30 R31 R32 R33 R34 R39
T28, 2010-05-02 16:57:10, 4695.14, 5214.30,  4.616,   45.495229,  -84.077308,   2.6,        ,        ,  4.6156,        , R01 R02 R03 R04 R05 R06 R07 R08 R09 R10 R11 R12 R13 R15 R16 R17 R18 R19 R20 R21 R22 R25 R26 R27 R28 R29 R30 R31 R32 R33 R34 R35 R37 R38 R39
T28, 2010-05-02 16:57:48, 4715.85, 5210.84,  5.000,   45.495198,  -84.077043,   2.8,        ,        ,        ,        , R02 R04 R05 R07 R08 R09 R11 R15 R16 R17 R18 R26 R28 R30 R33 R34 R36
T28, 2010-05-02 16:58:17, 4729.73, 5201.76,  4.616,   45.495116,  -84.076866,   2.6,        ,        ,  4.6156,        , R01 R02 R03 R04 R05 R06 R07 R08 R09 R10 R11 R12 R13 R14 R15 R16 R17 R18 R19 R20 R25 R26 R27 R28 R29 R30 R31 R32 R33 R34 R37 R38 R39
T28, 2010-05-02 16:58:54, 4748.19, 5190.99,  5.000,   45.495019,  -84.076629,   2.6,        ,        ,        ,        , R01 R02 R03 R04 R05 R06 R07 R08 R09 R10 R11 R12 R13 R14 R15 R16 R17 R18 R19 R20 R21 R22 R23 R24 R25 R26 R27 R28 R29 R30 R31 R32 R33 R34 R35 R37 R38 R39
T28, 2010-05-02 16:59:20, 4765.48, 5188.74,  4.616,   45.494999,  -84.076408,   2.6,        ,        ,  4.6156,        , R02 R03 R04 R05 R06 R07 R08 R09 R10 R11 R12 R13 R14 R15 R16 R17 R18 R19 R20 R21 R22 R24 R25 R26 R27 R28 R29 R30 R31 R32 R33 R34 R35 R36 R37 R38 R39
T28, 2010-05-02 17:00:43, 4799.16, 5184.91,  4.616,   45.494965,  -84.075977,   3.3,        ,        ,  4.6156,        , R03 R05 R07 R08 R09 R10 R11 R12 R13 R14 R15 R18 R21 R24 R25 R28 R29 R30 R31 R32 R33 R34 R36 R37
T28, 2010-05-02 17:01:30, 4830.14, 5180.38,  5.000,   45.494924,  -84.075581,   2.5,        ,        ,        ,        , R01 R02 R03 R04 R05 R06 R07 R08 R09 R10 R11 R12 R13 R14 R15 R16 R17 R18 R19 R20 R21 R22 R24 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R36 R37
T28, 2010-05-02 17:02:17, 4852.23, 5161.90,  4.835,   45.494758,  -84.075298,  55.2,        ,        ,  4.8354,        , R08 R10 R11 R12 R15
T28, 2010-05-02 17:03:02, 4875.68, 5145.01,  5.000,   45.494606,  -84.074999,   5.8,        ,        ,        ,        , R08 R09 R10 R11 R12 R13 R16 R28 R29 R30
T28, 2010-05-02 17:03:41, 4899.81, 5137.71,  4.835,   45.494540,  -84.074690,   2.6,        ,        ,  4.8354,        , R01 R02 R03 R04 R05 R06 R07 R08 R09 R10 R12 R13 R15 R16 R17 R18 R19 R20 R21 R22 R23 R24 R25 R26 R27 R28 R29 R30 R31 R32 R33 R34 R35 R37
T28, 2010-05-02 17:04:54, 4923.89, 5147.46,  5.055,   45.494628,  -84.074382,   2.6,        ,        ,  5.0552,        , R04 R05 R07 R09 R11 R13 R14 R15 R16 R17 R20 R21 R22 R24 R25 R26 R27 R28 R29 R30 R31 R32 R33
T28, 2010-05-02 17:05:28, 4930.18, 5147.88,  5.000,   45.494632,  -84.074301,   2.7,        ,        ,        ,        , R08 R09 R10 R13 R14 R16 R17 R21 R22 R26 R27 R28 R29 R30 R32 R33
T28, 2010-05-02 17:06:10, 4932.95, 5162.08,  5.000,   45.494759,  -84.074266,   3.5,        ,        ,        ,        , R05 R08 R17 R18 R28 R29 R30 R31 R32
T28, 2010-05-02 17:06:34, 4934.21, 5167.75,  5.055,   45.494810,  -84.074250,   2.6,        ,        ,  5.0552,        , R04 R05 R08 R10 R13 R17 R18 R26 R28 R29 R30 R31 R32 R33 R34
T28, 2010-05-02 17:07:03, 4901.68, 5203.59,  5.000,   45.495133,  -84.074666, 366.7,        ,        ,        ,        , R01 R02 R03 R05 R06 R19 R20
T28, 2010-05-02 17:07:42, 4958.40, 5158.59,  5.055,   45.494728,  -84.073940,   2.7,        ,        ,  5.0552,        , R04 R06 R07 R08 R09 R10 R11 R12 R13 R14 R15 R16 R17 R18 R19 R20 R22 R25 R26 R27 R28 R29 R30 R31 R32 R33
T28, 2010-05-02 17:08:10, 4965.21, 5154.50,  5.000,   45.494691,  -84.073853,   2.6,        ,        ,        ,        , R01 R04 R05 R06 R07 R08 R09 R13 R14 R15 R16 R17 R18 R19 R20 R21 R25 R26 R27 R28 R29 R30 R31 R32 R33 R34 R35 R37
T28, 2010-05-02 17:08:48, 4973.43, 5158.24,  5.055,   45.494725,  -84.073748,   2.6,        ,        ,  5.0552,        , R04 R05 R07 R08 R09 R13 R14 R15 R16 R17 R18 R19 R20 R22 R24 R25 R28 R29 R30 R32 R33 R34
T28, 2010-05-02 17:09:13, 4979.06, 5156.25,  5.000,   45.494707,  -84.073676,   2.6,        ,        ,        ,        , R04 R05 R06 R07 R08 R09 R10 R12 R13 R14 R15 R16 R17 R18 R19 R20 R22 R24 R25 R26 R27 R28 R29 R30 R31 R32 R33 R34 R35 R36 R37
T28, 2010-05-02 17:09:46, 4987.51, 5152.50,  5.055,   45.494673,  -84.073568,   2.5,        ,        ,  5.0552,        , R02 R04 R05 R06 R07 R08 R09 R10 R12 R13 R14 R15 R16 R17 R18 R19 R20 R21 R22 R24 R25 R26 R27 R28 R29 R30 R31 R32 R33 R34 R35 R37
T28, 2010-05-02 17:10:32, 5005.32, 5140.52,  5.000,   45.494565,  -84.073340,   2.6,        ,        ,        ,        , R05 R07 R09 R10 R11 R14 R15 R18 R19 R22 R25 R26 R28 R29 R30 R32 R33 R34
T28, 2010-05-02 17:11:14, 5014.64, 5145.19,  5.055,   45.494607,  -84.073221,   2.5,        ,        ,  5.0552,        , R01 R03 R04 R05 R06 R07 R08 R09 R10 R11 R12 R13 R14 R15 R16 R17 R18 R19 R20 R21 R22 R24 R25 R26 R27 R28 R29 R30 R31 R32 R33 R34 R35 R36 R37
T28, 2010-05-02 17:11:51, 5014.82, 5159.30,  5.000,   45.494734,  -84.073218,   2.5,        ,        ,        ,        , R01 R03 R04 R05 R06 R07 R08 R09 R11 R12 R13 R14 R15 R16 R17 R18 R19 R20 R21 R22 R24 R25 R26 R27 R28 R29 R30 R31 R32 R33 R34 R35 R36 R37
T28, 2010-05-02 17:12:14, 5018.88, 5169.76,  5.055,   45.494828,  -84.073166,   2.7,        ,        ,  5.0552,        , R02 R05 R07 R08 R09 R10 R11 R12 R13 R14 R15 R16 R17 R24 R27 R28 R29 R30 R32 R33 R34
T28, 2010-05-02 17:12:43, 5022.76, 5179.46,  5.000,   45.494916,  -84.073117,   2.5,        ,        ,        ,        , R01 R04 R05 R06 R07 R08 R09 R12 R13 R14 R15 R16 R17 R18 R19 R20 R21 R22 R25 R26 R27 R28 R29 R30 R31 R32 R33 R34 R35 R37
T28, 2010-05-02 17:13:20, 5025.27, 5187.92,  5.275,   45.494992,  -84.073085,   2.5,        ,        ,  5.2750,        , R01 R02 R04 R05 R06 R07 R08 R09 R13 R14 R15 R16 R17 R18 R19 R20 R21 R22 R24 R25 R26 R27 R28 R29 R30 R31 R32 R33 R34 R35 R37
T28, 2010-05-02 17:13:45, 5024.31, 5196.84,  5.000,   45.495072,  -84.073097,   2.6,        ,        ,        ,        , R04 R05 R07 R08 R09 R12 R13 R14 R15 R16 R17 R19 R25 R26 R27 R30 R31 R32 R33 R34 R35 R37
T28, 2010-05-02 17:15:01, 5028.12, 5208.93,  5.000,   45.495181,  -84.073048,   2.5,        ,        ,        ,        , R04 R05 R06 R07 R08 R09 R10 R14 R15 R16 R17 R18 R19 R20 R21 R24 R25 R26 R27 R28 R29 R30 R31 R32 R33 R34 R35 R37
