owl,nest,id_nest,sex,yrs,date,age,phase,XP0_D,YP0_D,X_nest,Y_nest
23,c,3,1,2,2004-04-08,162,1,231298,4165593,230582,4166865
23,c,3,1,2,2004-04-12,284,1,231596,4161333,230582,4166865
23,c,3,1,2,2004-05-09,194,1,230076,4163281,230582,4166865
23,c,3,1,2,2004-07-11,257,1,231408,4161354,230582,4166865
23,c,3,1,2,2004-07-12,287,1,231741,4162091,230582,4166865
23,c,3,1,2,2004-08-14,172,1,229636,4164326,230582,4166865
23,c,3,1,2,2004-08-16,174,1,230157,4163841,230582,4166865
23,c,3,1,2,2004-09-10,228,1,232588,4162946,230582,4166865
23,c,3,1,2,2004-10-15,234,1,231313,4163475,230582,4166865
23,c,3,1,2,2004-10-23,242,1,231313,4163475,230582,4166865
23,c,3,1,2,2004-10-31,250,1,231488,4162169,230582,4166865
23,c,3,1,2,2004-11-08,169,1,232587,4162181,230582,4166865
23,c,3,1,2,2004-11-12,291,1,231804,4162725,230582,4166865
23,c,3,1,2,2004-11-27,277,1,231686,4162195,230582,4166865
23,c,3,1,2,2004-12-11,262,1,231589,4163007,230582,4166865
23,c,3,1,2,2004-12-14,294,1,231708,4161911,230582,4166865
23,c,3,1,2,2004-12-28,308,1,230987,4162307,230582,4166865
23,c,3,1,2,2005-01-21,332,1,230075,4164293,230582,4166865
23,c,3,1,2,2005-01-25,336,1,230026,4164243,230582,4166865
23,c,3,1,2,2005-02-02,344,1,230027,4164278,230582,4166865
23,c,3,1,2,2005-03-19,389,1,225829,4164981,230582,4166865
23,c,3,1,2,2005-03-23,393,1,225607,4163080,230582,4166865
23,c,3,1,2,2005-03-29,399,1,227098,4163263,230582,4166865
23,c,3,1,2,2005-06-03,376,1,227355,4163431,230582,4166865
23,c,3,1,2,2005-06-27,489,1,227947,4159851,230582,4166865
23,c,3,1,2,2005-08-01,319,1,230987,4162307,230582,4166865
23,c,3,1,2,2005-08-04,409,1,224335,4162938,230582,4166865
23,c,3,1,2,2005-12-03,382,1,225737,4165936,230582,4166865
33,b,2,1,2,2004-02-10,220,1,226507,4165853,231560,4165831
33,b,2,1,2,2004-03-09,191,1,227183,4162744,231560,4165831
33,b,2,1,2,2004-03-11,252,1,226002,4165820,231560,4165831
33,b,2,1,2,2004-04-12,283,1,225480,4166123,231560,4165831
33,b,2,1,2,2004-09-09,197,1,226227,4164548,231560,4165831
33,b,2,1,2,2004-09-17,205,1,227487,4165390,231560,4165831
33,b,2,1,2,2004-09-23,211,1,225786,4165800,231560,4165831
33,b,2,1,2,2004-10-10,228,1,226851,4164866,231560,4165831
33,b,2,1,2,2004-10-11,259,1,225658,4165196,231560,4165831
33,b,2,1,2,2004-10-20,238,1,226467,4165856,231560,4165831
33,b,2,1,2,2004-11-19,268,1,225739,4166138,231560,4165831
33,b,2,1,2,2004-11-24,273,1,225413,4166767,231560,4165831
33,b,2,1,2,2004-12-18,297,1,221683,4166390,231560,4165831
33,b,2,1,2,2004-12-26,305,1,222995,4166262,231560,4165831
33,b,2,1,2,2005-01-01,311,1,223471,4166344,231560,4165831
33,b,2,1,2,2005-01-21,331,1,219569,4167665,231560,4165831
33,b,2,1,2,2005-02-02,343,1,221563,4163321,231560,4165831
33,b,2,1,2,2005-03-05,433,2,221096,4160997,231560,4165831
33,b,2,1,2,2005-04-06,465,2,221004,4162081,231560,4165831
33,b,2,1,2,2005-05-03,374,2,221563,4163321,231560,4165831
33,b,2,1,2,2005-06-25,486,2,221586,4165277,231560,4165831
33,b,2,1,2,2005-09-07,500,2,220952,4164058,231560,4165831
33,b,2,1,2,2005-09-13,566,2,221807,4162583,231560,4165831
33,b,2,1,2,2005-10-06,471,2,221428,4161529,231560,4165831
33,b,2,1,2,2005-10-08,532,2,221115,4163383,231560,4165831
33,b,2,1,2,2005-12-07,503,2,220952,4164058,231560,4165831
45,b,2,1,2,2004-01-09,153,1,229978,4168814,231560,4165831
45,b,2,1,2,2004-02-10,184,1,226494,4165927,231560,4165831
45,b,2,1,2,2004-09-09,161,1,228723,4164067,231560,4165831
45,b,2,1,2,2004-09-17,169,1,227596,4165192,231560,4165831
45,b,2,1,2,2004-09-23,175,1,226279,4166060,231560,4165831
45,b,2,1,2,2004-10-10,192,1,226185,4166045,231560,4165831
45,b,2,1,2,2004-10-17,199,1,226293,4165895,231560,4165831
45,b,2,1,2,2004-10-20,202,1,225051,4167743,231560,4165831
45,b,2,1,2,2005-02-02,307,1,221424,4163376,231560,4165831
45,b,2,1,2,2005-05-03,338,1,221424,4163376,231560,4165831
93,c,3,1,2,2004-04-08,161,1,231036,4166466,230582,4166865
93,c,3,1,2,2004-08-14,171,1,229990,4165404,230582,4166865
93,c,3,1,2,2004-08-15,172,1,227137,4163205,230582,4166865
93,c,3,1,2,2004-08-18,175,1,227850,4164735,230582,4166865
93,c,3,1,2,2004-08-28,185,1,227321,4167986,230582,4166865
93,c,3,1,2,2004-09-18,206,1,228338,4164565,230582,4166865
93,c,3,1,2,2004-09-23,211,1,225959,4166189,230582,4166865
93,c,3,1,2,2004-11-08,168,1,230128,4165902,230582,4166865
105,t,10,1,4,2006-05-09,168,2,227631,4164292,230952,4167454
105,t,10,1,4,2006-08-15,147,1,226029,4165843,230952,4167454
105,t,10,1,4,2006-08-17,149,2,225782,4165735,230952,4167454
105,t,10,1,4,2006-08-22,154,2,225651,4165064,230952,4167454
105,t,10,1,4,2006-08-29,161,2,226398,4164690,230952,4167454
105,t,10,1,4,2006-09-20,183,2,227204,4164655,230952,4167454
105,t,10,1,4,2006-09-29,192,2,226155,4164586,230952,4167454
105,t,10,1,4,2006-10-08,142,1,231943,4166226,230952,4167454
105,t,10,1,4,2006-10-10,203,2,227204,4164655,230952,4167454
105,t,10,1,4,2006-11-09,174,2,225538,4164688,230952,4167454
114,q,8,1,2,2004-08-14,168,1,229951,4165929,231065,4166634
114,q,8,1,2,2004-08-16,170,1,230310,4165282,231065,4166634
114,q,8,1,2,2004-08-19,173,1,227230,4164076,231065,4166634
114,q,8,1,2,2004-08-28,182,1,229336,4164928,231065,4166634
114,q,8,1,2,2004-09-09,194,1,229041,4164272,231065,4166634
114,q,8,1,2,2004-09-10,224,1,229183,4164400,231065,4166634
114,q,8,1,2,2004-09-17,202,1,229466,4162933,231065,4166634
114,q,8,1,2,2004-09-23,208,1,228657,4164477,231065,4166634
114,q,8,1,2,2004-09-25,210,1,228857,4164614,231065,4166634
114,q,8,1,2,2004-10-11,256,1,229157,4164305,231065,4166634
114,q,8,1,2,2004-10-14,229,1,228795,4165983,231065,4166634
114,q,8,1,2,2004-10-20,235,1,228790,4164150,231065,4166634
114,q,8,1,2,2004-10-26,241,1,228797,4164491,231065,4166634
114,q,8,1,2,2004-11-08,165,1,229282,4166247,231065,4166634
114,q,8,1,2,2004-11-20,266,1,229293,4165393,231065,4166634
114,q,8,1,2,2004-11-24,270,1,227998,4164777,231065,4166634
114,q,8,1,2,2005-01-01,308,2,220835,4168131,231065,4166634
114,q,8,1,2,2005-01-30,337,2,219187,4167980,231065,4166634
114,q,8,1,2,2005-02-02,340,2,219033,4167803,231065,4166634
114,q,8,1,2,2005-02-04,399,2,216034,4170239,231065,4166634
114,q,8,1,2,2005-02-13,351,2,218206,4167081,231065,4166634
114,q,8,1,2,2005-02-15,353,2,215881,4166664,231065,4166634
114,q,8,1,2,2005-03-19,385,2,215540,4168030,231065,4166634
114,q,8,1,2,2005-04-06,462,2,216795,4166443,231065,4166634
114,q,8,1,2,2005-05-03,371,2,215881,4166664,231065,4166634
114,q,8,1,2,2005-05-16,443,2,216161,4166355,231065,4166634
114,q,8,1,2,2005-07-16,504,2,216170,4167166,231065,4166634
114,q,8,1,2,2005-08-07,496,2,216679,4167722,231065,4166634
